A-Party,B-Party,Call Type,Start Date,Start Time,Duration,IMEI,IMSI,Cell ID,Call Status
9876543210,9123456707,SMS,2026-05-02,10:58:29,0,356789012345671,404450123456781,CELL1011,Delivered
9876543210,9123456708,Voice Call,2026-05-02,11:20:03,174,356789012345671,404450123456781,CELL1012,Completed
9876543210,9123456702,Voice Call,2026-05-02,12:05:58,260,356789012345671,404450123456781,CELL1012,Completed
9876543210,9123456709,Missed Call,2026-05-02,12:40:14,0,356789012345671,404450123456781,CELL1013,Missed
9876543210,9123456710,Voice Call,2026-05-02,13:17:25,194,356789012345671,404450123456781,CELL1013,Completed
9876543210,9123456711,SMS,2026-05-02,14:02:37,0,356789012345671,404450123456781,CELL1014,Delivered
9876543210,9123456712,Voice Call,2026-05-02,15:10:44,141,356789012345671,404450123456781,CELL1014,Completed
9876543210,9123456701,Voice Call,2026-05-02,16:21:11,305,356789012345671,404450123456781,CELL1015,Completed
9876543210,9123456703,SMS,2026-05-02,17:15:19,0,356789012345671,404450123456781,CELL1015,Delivered
9876543210,9123456704,Voice Call,2026-05-02,18:04:33,97,356789012345671,404450123456781,CELL1016,Completed
9876543210,9123456705,Voice Call,2026-05-03,08:14:07,220,356789012345671,404450123456781,CELL1017,Completed
9876543210,9123456706,SMS,2026-05-03,08:46:55,0,356789012345671,404450123456781,CELL1017,Delivered
9876543210,9123456707,Voice Call,2026-05-03,09:12:28,155,356789012345671,404450123456781,CELL1018,Completed
9876543210,9123456708,Missed Call,2026-05-03,09:55:41,0,356789012345671,404450123456781,CELL1018,Missed
9876543210,9123456701,Voice Call,2026-05-03,10:25:36,412,356789012345671,404450123456781,CELL1019,Completed
9876543210,9123456709,SMS,2026-05-03,11:06:20,0,356789012345671,404450123456781,CELL1019,Delivered
9876543210,9123456710,Voice Call,2026-05-03,11:44:13,183,356789012345671,404450123456781,CELL1020,Completed
9876543210,9123456702,Voice Call,2026-05-03,12:28:59,244,356789012345671,404450123456781,CELL1020,Completed
9876543210,9123456711,Missed Call,2026-05-03,13:10:32,0,356789012345671,404450123456781,CELL1021,Missed
9876543210,9123456712,Voice Call,2026-05-03,14:05:21,136,356789012345671,404450123456781,CELL1021,Completed
9876543210,9123456701,SMS,2026-05-03,15:02:48,0,356789012345671,404450123456781,CELL1022,Delivered
9876543210,9123456703,Voice Call,2026-05-03,16:18:55,278,356789012345671,404450123456781,CELL1022,Completed
9876543210,9123456704,Voice Call,2026-05-03,17:30:09,105,356789012345671,404450123456781,CELL1023,Completed
9876543210,9123456705,SMS,2026-05-03,18:01:44,0,356789012345671,404450123456781,CELL1023,Delivered
9876543210,9123456706,Voice Call,2026-05-04,08:08:15,167,356789012345671,404450123456781,CELL1024,Completed
9876543210,9123456707,Missed Call,2026-05-04,08:44:18,0,356789012345671,404450123456781,CELL1024,Missed
9876543210,9123456708,Voice Call,2026-05-04,09:10:07,289,356789012345671,404450123456781,CELL1025,Completed
9876543210,9123456701,SMS,2026-05-04,09:55:26,0,356789012345671,404450123456781,CELL1025,Delivered
9876543210,9123456709,Voice Call,2026-05-04,10:24:33,143,356789012345671,404450123456781,CELL1026,Completed
9876543210,9123456710,Voice Call,2026-05-04,11:11:05,355,356789012345671,404450123456781,CELL1026,Completed
9876543210,9123456702,Missed Call,2026-05-04,12:06:42,0,356789012345671,404450123456781,CELL1027,Missed
9876543210,9123456711,SMS,2026-05-04,12:45:11,0,356789012345671,404450123456781,CELL1027,Delivered
9876543210,9123456712,Voice Call,2026-05-04,13:18:38,121,356789012345671,404450123456781,CELL1028,Completed
9876543210,9123456701,Voice Call,2026-05-04,14:07:52,265,356789012345671,404450123456781,CELL1028,Completed
9876543210,9123456703,SMS,2026-05-04,15:14:29,0,356789012345671,404450123456781,CELL1029,Delivered
9876543210,9123456704,Voice Call,2026-05-04,16:02:40,192,356789012345671,404450123456781,CELL1029,Completed
9876543210,9123456705,Voice Call,2026-05-04,17:10:03,83,356789012345671,404450123456781,CELL1030,Completed
9876543210,9123456706,SMS,2026-05-04,18:05:17,0,356789012345671,404450123456781,CELL1030,Delivered
9876543210,9123456707,Voice Call,2026-05-05,08:18:44,211,356789012345671,404450123456781,CELL1031,Completed
9876543210,9123456708,Missed Call,2026-05-05,09:01:21,0,356789012345671,404450123456781,CELL1031,Missed
9876543210,9123456701,Voice Call,2026-05-05,09:28:35,334,356789012345671,404450123456781,CELL1032,Completed
9876543210,9123456709,SMS,2026-05-05,10:04:09,0,356789012345671,404450123456781,CELL1032,Delivered
9876543210,9123456710,Voice Call,2026-05-05,10:42:28,158,356789012345671,404450123456781,CELL1033,Completed
9876543210,9123456702,Voice Call,2026-05-05,11:20:15,272,356789012345671,404450123456781,CELL1033,Completed
9876543210,9123456711,SMS,2026-05-05,12:03:47,0,356789012345671,404450123456781,CELL1034,Delivered
9876543210,9123456712,Voice Call,2026-05-05,12:55:19,144,356789012345671,404450123456781,CELL1034,Completed
9876543210,9123456701,Missed Call,2026-05-05,13:40:26,0,356789012345671,404450123456781,CELL1035,Missed
9876543210,9123456703,Voice Call,2026-05-05,14:16:52,218,356789012345671,404450123456781,CELL1035,Completed
9876543210,9123456704,SMS,2026-05-05,15:07:31,0,356789012345671,404450123456781,CELL1036,Delivered
9876543210,9123456705,Voice Call,2026-05-05,16:22:04,96,356789012345671,404450123456781,CELL1036,Completed
9876543210,9123456706,Voice Call,2026-05-05,17:15:40,307,356789012345671,404450123456781,CELL1037,Completed
9876543210,9123456707,SMS,2026-05-05,18:01:12,0,356789012345671,404450123456781,CELL1037,Delivered
9876543210,9123456708,Voice Call,2026-05-06,08:10:50,186,356789012345671,404450123456781,CELL1038,Completed
9876543210,9123456701,Voice Call,2026-05-06,08:58:22,399,356789012345671,404450123456781,CELL1038,Completed
9876543210,9123456709,SMS,2026-05-06,09:40:08,0,356789012345671,404450123456781,CELL1039,Delivered
9876543210,9123456710,Missed Call,2026-05-06,10:05:44,0,356789012345671,404450123456781,CELL1039,Missed
9876543210,9123456702,Voice Call,2026-05-06,10:42:13,171,356789012345671,404450123456781,CELL1040,Completed
9876543210,9123456711,Voice Call,2026-05-06,11:24:50,254,356789012345671,404450123456781,CELL1040,Completed
9876543210,9123456712,SMS,2026-05-06,12:01:07,0,356789012345671,404450123456781,CELL1041,Delivered
9876543210,9123456701,Voice Call,2026-05-06,12:44:35,315,356789012345671,404450123456781,CELL1041,Completed
9876543210,9123456703,Voice Call,2026-05-06,13:30:12,102,356789012345671,404450123456781,CELL1042,Completed
9876543210,9123456704,SMS,2026-05-06,14:18:56,0,356789012345671,404450123456781,CELL1042,Delivered
9876543210,9123456705,Missed Call,2026-05-06,15:02:41,0,356789012345671,404450123456781,CELL1043,Missed
9876543210,9123456706,Voice Call,2026-05-06,15:48:33,208,356789012345671,404450123456781,CELL1043,Completed
9876543210,9123456707,Voice Call,2026-05-06,16:30:18,126,356789012345671,404450123456781,CELL1044,Completed
9876543210,9123456708,SMS,2026-05-06,17:14:09,0,356789012345671,404450123456781,CELL1044,Delivered
9876543210,9123456701,Voice Call,2026-05-06,18:05:27,281,356789012345671,404450123456781,CELL1045,Completed
9876543210,9123456709,Voice Call,2026-05-07,08:15:05,193,356789012345671,404450123456781,CELL1046,Completed
9876543210,9123456710,SMS,2026-05-07,08:54:44,0,356789012345671,404450123456781,CELL1046,Delivered
9876543210,9123456702,Voice Call,2026-05-07,09:36:28,149,356789012345671,404450123456781,CELL1047,Completed
9876543210,9123456711,Missed Call,2026-05-07,10:05:39,0,356789012345671,404450123456781,CELL1047,Missed
9876543210,9123456712,Voice Call,2026-05-07,10:52:17,337,356789012345671,404450123456781,CELL1048,Completed
9876543210,9123456701,SMS,2026-05-07,11:40:03,0,356789012345671,404450123456781,CELL1048,Delivered
9876543210,9123456703,Voice Call,2026-05-07,12:14:50,224,356789012345671,404450123456781,CELL1049,Completed
9876543210,9123456704,Voice Call,2026-05-07,13:05:12,89,356789012345671,404450123456781,CELL1049,Completed
9876543210,9123456705,SMS,2026-05-07,14:01:26,0,356789012345671,404450123456781,CELL1050,Delivered
9876543210,9123456706,Voice Call,2026-05-07,15:18:41,262,356789012345671,404450123456781,CELL1050,Completed
9876543210,9123456707,Missed Call,2026-05-07,16:02:18,0,356789012345671,404450123456781,CELL1051,Missed
9876543210,9123456708,Voice Call,2026-05-07,16:50:33,177,356789012345671,404450123456781,CELL1051,Completed
9876543210,9123456701,Voice Call,2026-05-07,17:42:59,348,356789012345671,404450123456781,CELL1052,Completed
